Date,Shift,Product / SKU,Container,Pack Size (ml),Planned Start,Planned End,Run Time (min),Planned Downtime (min),Unplanned Downtime (min),Changeover Time (min),CIP Time (min),Target Speed (packs/hr),Actual Speed (packs/hr),Total Packs,Good Packs,Reject Packs,Reject Rate (%),Fill Volume Avg (ml),Fill Volume Std Dev (ml),Availability (%),Performance (%),Quality (%),OEE (%),Main Fault Code,Main Fault Description,Probable Cause,Corrective Action,Operator Note
2025-07-01 00:00:00,A,UHT Milk 1L,Bottle,1000,2025-07-01 06:00:00,2025-07-01 14:00:00,396,35,24,25,0,7200,7093,46813,46003,810,0.017303,999.37,1.823,0.88988764,0.985138889,0.982697,0.861494,F004,Conveyor back pressure,Downstream accumulation,Clear downstream blockage and reset conveyor speed balance.,Line released after QC confirmation.
2025-07-01 00:00:00,B,Flavoured Milk 200ml,Bottle,200,2025-07-01 14:00:00,2025-07-01 22:00:00,452,0,8,20,0,10500,10322,77759,77124,635,0.008166,200.18,0.143,0.941666667,0.983047619,0.991834,0.918144,,,,Routine operation; no major intervention required.,Line released after QC confirmation.
2025-07-01 00:00:00,C,Drinking Yoghurt 180ml,Bottle,180,2025-07-01 22:00:00,2025-07-02 06:00:00,465,15,0,0,0,9800,9466,73361,72898,463,0.006311,179.69,0.104,1,0.965918367,0.993689,0.959822,,,,Routine operation; no major intervention required.,Operator verified recipe before production.
2025-07-02 00:00:00,A,UHT Milk 500ml,Bottle,500,2025-07-02 06:00:00,2025-07-02 14:00:00,435,10,35,0,0,8800,7980,57855,56695,1160,0.02005,499.88,0.471,0.925531915,0.906818182,0.97995,0.822461,F008,Air pressure low,Compressed air fluctuation,Check air header pressure and compressor dryer status.,Mock training record only.
2025-07-02 00:00:00,B,Cream 250ml,Cup,250,2025-07-02 14:00:00,2025-07-02 22:00:00,440,15,0,25,0,7600,7468,54765,54314,451,0.008235,249.9,0.359,0.946236559,0.982631579,0.991765,0.922145,,,,Routine operation; no major intervention required.,Mock training record only.
2025-07-02 00:00:00,C,UHT Milk 1L,Bottle,1000,2025-07-02 22:00:00,2025-07-03 06:00:00,450,15,0,15,0,7200,7042,52815,52620,195,0.003692,999.31,1.714,0.967741935,0.978055556,0.996308,0.943011,,,,Routine operation; no major intervention required.,Minor stoppage reviewed during shift handover.
2025-07-03 00:00:00,A,Flavoured Milk 200ml,Bottle,200,2025-07-03 06:00:00,2025-07-03 14:00:00,460,0,0,20,0,10500,9572,73385,72566,819,0.01116,200.16,0.352,0.958333333,0.911619048,0.98884,0.863885,,,,Routine operation; no major intervention required.,Operator verified recipe before production.
2025-07-03 00:00:00,B,Drinking Yoghurt 180ml,Bottle,180,2025-07-03 14:00:00,2025-07-03 22:00:00,440,5,5,30,0,9800,10106,74110,73244,866,0.011685,179.93,0.312,0.926315789,1.03122449,0.988315,0.944078,,,,Routine operation; no major intervention required.,Mock training record only.
2025-07-03 00:00:00,C,UHT Milk 500ml,Bottle,500,2025-07-03 22:00:00,2025-07-04 06:00:00,442,10,28,0,0,8800,8275,60959,59881,1078,0.017684,501.91,0.666,0.940425532,0.940340909,0.982316,0.868682,F001,Nozzle drip detected,Nozzle seal wear,Inspect and replace nozzle seal; verify drip tray sensor.,Stable run after start-up checks.
2025-07-04 00:00:00,A,Cream 250ml,Cup,250,2025-07-04 06:00:00,2025-07-04 14:00:00,465,5,10,0,0,7600,7213,55900,55451,449,0.008032,250.19,0.316,0.978947368,0.949078947,0.991968,0.921636,,,,Routine operation; no major intervention required.,Minor stoppage reviewed during shift handover.
2025-07-04 00:00:00,B,UHT Milk 1L,Bottle,1000,2025-07-04 14:00:00,2025-07-04 22:00:00,457,0,3,20,0,7200,7492,57064,56392,672,0.011776,998.67,1.611,0.952083333,1.040555556,0.988224,0.979029,F002,Bottle sensor missed count,Photo eye blocked,Clean photo eye and confirm bottle spacing at infeed.,Minor stoppage reviewed during shift handover.
2025-07-04 00:00:00,C,Flavoured Milk 200ml,Bottle,200,2025-07-04 22:00:00,2025-07-05 06:00:00,455,0,5,20,0,10500,10146,76940,76208,732,0.009514,199.63,0.389,0.947916667,0.966285714,0.990486,0.907244,,,,Routine operation; no major intervention required.,Minor stoppage reviewed during shift handover.
2025-07-05 00:00:00,A,Drinking Yoghurt 180ml,Bottle,180,2025-07-05 06:00:00,2025-07-05 14:00:00,414,15,21,30,0,9800,8795,60685,59251,1434,0.02363,180.11,0.357,0.890322581,0.89744898,0.97637,0.780138,F008,Air pressure low,Compressed air fluctuation,Check air header pressure and compressor dryer status.,Stable run after start-up checks.
2025-07-05 00:00:00,B,UHT Milk 500ml,Bottle,500,2025-07-05 14:00:00,2025-07-05 22:00:00,440,15,5,20,0,8800,7943,58248,57753,495,0.008498,499.24,0.497,0.946236559,0.902613636,0.991502,0.846828,,,,Routine operation; no major intervention required.,Line released after QC confirmation.
2025-07-05 00:00:00,C,Cream 250ml,Cup,250,2025-07-05 22:00:00,2025-07-06 06:00:00,350,35,5,15,75,7600,7258,42338,41909,429,0.010133,249.61,0.366,0.786516854,0.955,0.989867,0.743512,,,,Routine operation; no major intervention required.,Operator verified recipe before production.
2025-07-06 00:00:00,A,UHT Milk 1L,Bottle,1000,2025-07-06 06:00:00,2025-07-06 14:00:00,445,15,0,20,0,7200,6483,48082,47519,563,0.011709,999.6,1.051,0.956989247,0.900416667,0.988291,0.8516,,,,Routine operation; no major intervention required.,Mock training record only.
2025-07-06 00:00:00,B,Flavoured Milk 200ml,Bottle,200,2025-07-06 14:00:00,2025-07-06 22:00:00,442,10,8,20,0,10500,10257,75559,75156,403,0.005334,199.68,0.494,0.940425532,0.976857143,0.994666,0.913761,,,,Routine operation; no major intervention required.,Minor stoppage reviewed during shift handover.
2025-07-06 00:00:00,C,Drinking Yoghurt 180ml,Bottle,180,2025-07-06 22:00:00,2025-07-07 06:00:00,450,0,0,30,0,9800,8519,63892,63036,856,0.013398,179.83,0.222,0.9375,0.869285714,0.986602,0.804037,,,,Routine operation; no major intervention required.,Minor stoppage reviewed during shift handover.
